circumscribed 2
cirrhotic 1
clear 161
clearly 4
clinic 1
clinical 16
clinically 2
clinico 1
closed 2
clot 3
clumped 1
cm 5
cms 3
coarse 2
coiled 1
coils 3
collapsed 13
collection 34
collections 12
colon 2
color 1
colour 41
communicate 1
communication 2
compare 1
compared 34
comparison 1
complete 3
completely 1
complex 42
component 14
components 404
compressible 7
hypocondric 1
confirms 1
confluent 1
congestion 1
consider 1
considered 5
consistent 1
cont 1
contain 1
contains 52
contents 64
contiguous 1
contour 9
contours 1
contracted 12
contralateral 1
corpus 28
corrected 1
correlate 1
correlation 22
corresponds 1
cortical 5
corticomedullary 2
cough 44
coughing 1
could 54
count 9
course 2
covered 2
cranial 1
crossly 1
crumpled 1
ct 16
cul 48
cycle 4
cycles 1
cyst 2491
cystadeno 3
cystectomy 1
cystic 560
cystitis 2
cysts 415
date 30
daughter 1
day 3
days 1
debris 71
decreased 3
deep 5
deeper 2
defect 45
defined 256
degeneration 1
degenerative 2
delineated 2
delineation 4
demonstrable 21
demonstrated 4
dengue 1
dense 4
density 1
dependent 1
dermoid 48
describe 1
described 58
detailed 1
detected 1
determined 3
detersion 49
deviated 1
dhananjay 1
diameter 56
diastolic 2
differentiation 2
diffuse 9
dilatation 8
dilated 1866
dinakar 4
direct 1
discontinuity 21
disease 59
diseases 2
displacing 7
disproportionately 1
distal 2
distended 10
distinctly 1
divarication 1
do 38
doctor 29
dome 1
dominant 34
done 2
doppler 54
douglas 163
downwards 1
dr 26
ductal 2
ducts 1
due 24
dumbbell 1
duodenum 1
during 1
each 10
earlier 9
early 4
echo 7
echoes 1180
echogenicity 115
echogenic 136
echogenicities 9
echoic 22
echolucent 158
echopattern 4
echotexture 173
ectopic 4
ed 1
edema 5
edematous 6
edge 1
effusion 38
either 31
elastograph 2
elements 2
elongated 33
end 1
ending 6
endocervical 1
endocrine 1
endometrial 10
endometriosis 5
endometriotic 50
endometrium 11
enhancement 2
enlarged 341
enlargement 4
entire 2
epigastric 6
epigastrium 5
essay 1
et 2
evaluation 23
evaluation 4
evidence 1409
except 1
excess 1
exclude 42
excluded 2
excrescences 1
exhibits 1
exophytic 32
extending 82
extends 4
extension 4
extensive 5
extent 2
factor 1
failure 8
fairly 2
fat 5
fathima 1
fatty 2
featured 1
features 38
fecal 1
female 29
fetal 1
fetus 1
few 258
fibroid 11
fibroids 3
filled 4
finding 5
findings 225
fine 88
fining 1
first 1
fl 1
flanks 2
flexure 1
floating 1
flow 33
flows 5
flu 1
fluid 4288
flush 12
focal 19
foci 7
focus 3
folds 1
folicular 1
follicle 436
follicles 775
follicular 105
follilces 5
follow 17
followed 1
following 1
follows 248
font 52
fonts 52
for 37
form 2
forming 1
fossa 232
free 2963
from 75
full 1
functional 12
fundal 1
fundus 17
further 18
gall 111
gas 10
gaseous 3
gases 3
gb 1
gender 29
gestation 5
gestational 1
gg 21
go 1
going 2
good 2
gowda 1
grade 4
gravel 2
greater 1
gross 14
grossly 5
growth 1
gutter 3
gutters 2
gynec 1
h 23
had 1
hamper 2
has 8
hauser 1
hc 1
head 2
health 1
hebbala 1
hemalatha 1
hemangiomas 1
hematoma 2
hemoperitoneum 3
hemorrhage 7
hemorrhagic 136
hence 1
hepatic 1
hepatitis 1
hepato 1
hepatomegaly 2
hepatorenal 3
here 1
hernia 53
herniation 2
heterogeneous 5
heterogeneously 1
high 2
hilar 1
hiremath 1
home 3
homogeneous 1
hormonal 13
horn 1
hospital 1
hospitals 1
however 15
hydronephrosis 11
hydrosalpinx 5
hydroureter 7
hyper 8
hyperechoic 17
hypochondrium 1
hypoechoic 77
hypoplasia 5
hypoplastic 15
hypovascular 4
hysterectomy 31
i 1
id 29
identified 3
identifies 1
if 2
ii 1
ileus 2
iliac 242
ill 8
Ill-defined 20
impacted 1
impedence 1
implantation 1
impression 1
impulse 44
in 4636
incidental 4
incidentally 1
incision 1
incisional 5
including 1
inclusion 2
incomplete 4
increase 18
increased 23
indenting 2
independent 2
indicated 2
indices 1
indirect 1
infantile 1
infected 4
infection 1
inferior 10
infiltration 2
inflammation 1
inflammatory 9
inflammed 2
influence 5
infra 2
infraumbilical 2
inguinal 7
inhomogenous 1
injury 1
insensitive 1
intact 1
inter 3
interference 1
internal 1182
interrogation 4
interval 1
intestinal 1
into 6
intra 4
intraabdominal 2
intrahepatic 1
intrauterine 1
intravesical 4
involving 3
irregular 50
irregularity 3
is 2582
isoechoic 1
it 541
its 23
iucd 1
ivc 42
jai 3
jain 59
joining 1
junction 2
just 45
kashi 2
khanum 1
kidney 18
kidneys 8
known 2
koch's 1
kumar 15
kuster 1
lab 2
lager 1
lalith 15
large 349
larger 424
largest 31
last 11
lateral 25
laterally 5
layer 21
left 3847
length 13
lesion 416
lesions 1366
less 3
level 69
leveling 2
levels 4
lie 2
lif 4
ligament 5
like 4
likely 5
limited 11
limits 3
line 17
linear 5
lingam 2
lip 1
lipomas 1
liquor 1
litres 1
liver 11
lobe 2
lobulated 17
localized 2
located 106
loculated 8
loculation 1
locules 4
long 8
longer 1
loop 2
loops 1887
low 64
lower 47
lscs 1
lt 31
lumbar 16
lumen 1
luminal 1
luteal 12
luteum 16
lying 46
lymph 1
lymphadenopathy 59
lymphnode 2
lymphnodes 8
made 51
madeout 144
madhukar 1
maintained 2
malignancy 8
malignant 3
manjunath 3
many 1
margin 80
marginal 3
marginally 7
margins 10
mariyam 1
mark 1
mass 3832
masses 3
material 2
maternal 1
matter 1
mayer 1
measure 10
measurements 11
measures 3671
measuring 2201
medial 11
medially 6
medical 2
membrane 2
menon 3
menopausal 2
mentioned 2
mesenteric 9
mesentery 1
mesentry 2
mesocolic 1
metastasis 1
mid 19
midline 42
mild 219
mildly 76
minimal 167
minimally 38
mitotic 2
mixed 40
mm 1
mobile 2
moderate 57
moderately 1
more 6
moreso 2
morphology 5
morrison's 1
morrisons 1
most 22
movements 1
moving 1
mr 2
mri 2
mucin 1
mucocele 1
mucosal 3
mullerian 1
multi 15
multicystic 5
multiloculated 2
multiple 843
multiples 1
multiseptate 65
multiseptated 5
mural 8
muscle 4
muscles 10
muscular 24
musculature 1
myometrial 1
name 29
narendra 2
nasal 1
nature 1
nazir 1
near 1
neck 3
necrosis 2
necrotic 1
neoplasm 44
neoplastic 1
niveditha 1
no 9678
nodal 1
node 1
nodes 1
nodular 3
nodularity 1
nodulations 1
nodule 4
nodules 6
non 55
noor 1
normal 946
normal 6
not 952
note 124
noted 3060
nuchal 1
number 1
obscured 190
obstructing 31
obstruction 100
obtained 1
obvious 1886
occlusive 1
of 2612
old 4
omental 5
omentum 30
on 136
one 10
ongoing 5
only 2
oopherectomy 5
op 13
operated 1
operative 2
or 175
organs 3
oriented 3
origin 29
os 2
other 840
otherwise 2
out 179
outer 2
outline 2
oval 147
ovarian 1137
ovaries 3736
ovary 6370
over 7
overlying 3
ovulation 2
pancreas 2
pancreatic 1
papillary 1
para 74
paraaortic 60
paracolic 5
parallel 1
parameters 1
paraovarian 59
paraspinal 1
paraumbilical 4
paraurethral 1
parenchyma 9
parenchymal 4
parietal 9
part 3
partial 1
partially 6
parveen 9
pass 1
passage 2
patel 1
pathology 42
patient 1
patil 2
pattern 11
pcod 2
peak 1
pedicle 4
pelvi 4
pelviabdominal 13
pelvic 187
pelvis 973
performed 1
peri 3
periappendicial 1
pericardial 2
periods 1
peripheral 18
peripherally 274
periphery 124
periplheral 1
perirenal 1
peristalsis 17
peristaltic 1
peristaltic 1
peritoneal 21
peritoneum 3
persistent 5
pi 2
pic 1
pid 1
placental 1
plane 11
please 124
pleural 43
plug 3
plugs 1
pocket 1
pockets 1
pod 2096
point 3
points 1
pole 3
polycystic 350
polycystic 1
polyp 7
polyps 1
pooja 1
poorly 2
portion 1
position 4
possibility 21
possible 6
possibly 21
post 50
posterior 105
posteriorly 5
postero 4
posteroinferior 1
posterolateral 6
posterosuperior 1
postvoid 1
pouch 171
prakash 1
praveen 1
pre 57
predominantly 10
pregnancy 1
premature 5
present 216
pressure 39
previous 49
previously 2
prevoid 2
primary 1
probability 1
probable 5
probably 139
probe 76
profile 1
projection 1
prominent 20
proportions 1
prostate 3
prostatic 1
protruding 1
proximity 1
ps 63
psoas 13
pto 1
pubertal 6
pushed 1
pushing 2
pv 7
pyometra 1
quadrant 2
quadrants 1
quantity 1
radical 1
raghuram 1
raising 1
rajesh 1
randomly 47
rangaraj 1
ranging 6
rao 8
rare 1
ravishankar 1
recently 1
rectal 1
recti 1
rectus 2
reducible 3
reduction 7
ref 29
region 74
regions 2
regular 181
rehman 4
related 40
relatively 4
renal 14
reported 1
reports 1
represent 1
represents 1
residual 2
resistance 8
resolution 3
resolve 3
resolved 13
resolving 2
respectively 1
rest 76
retention 43
retort 1
retrocaecal 118
retroperitoneal 1
retroplacental 1
retroverted 1
ri 5
ric 1
rif 198
right 4012
rim 3
risk 1
rokitansky 1
rounded 26
rt 216
rudimentary 2
rudresh 5
rule 5
ruled 122
rupture 2
ruptured 10
s/o 109
sac 56
sand 2
sandur 1
sangamithra 1
sangolli 1
scan 82
scan 4
scans 1
scar 6
scarring 2
screening 1
section 1
see 4
seedling 1
seem 1
seems 1
seen 4426
seft 1
segment 1
segments 1
self 23
seminal 1
semisolid 1
sensitive 2
separate 26
separated 1
separately 565
separating 1
septa 7
septae 70
septations 2
septal 2
septate 4
septated 12
septation 229
septations 1026
septum 25
serosal 1
serum 1
severe 1
shabhag 1
shadowing 12
shadows 1
shankar 1
shape 175
shaped 14
shazia 7
short 1
show 176
showing 5
shows 1420
shreedhara 1
shruti 1
side 71
sided 2
sides 1
significant 15
signification 1
signs 1
similar 3
simple 255
since 1
single 42
sinus 3
site 2
sites 1
situated 1
size 991
sized 254
skin 1
slight 13
slightly 408
sludge 4
small 1498
smaller 32
smooth 56
soft 12
sol 315
solid 618
solitary 21
sols 26
some 8
sonographic 2
sonological 7
sonologically 119
space 3
spaces 54
sparse 1
speck 1
specks 8
specs 1
spectral 5
specular 1
spetations 1
spleen 3
spleenomegaly 5
splenic 1
splenomegaly 5
srinivas 2
stage 1
status 38
stimulation 6
stranding 1
strangulation 1
streaky 1
stroma 9
stromal 2
structure 28
structures 5
stuck 6
study 33
stump 1
su 22
sub 1
subcentimeter 4
subcentimeters 191
subcutaneous 10
subhepatic 1
subphrenic 1
subseptate 2
subserous 4
subtle 1
suggest 195
suggested 25
suggesting 2
suggestive 230
suggests 2
sujatha 1
sumana 2
sumanth 1
sunitha 1
superficially 19
superior 44
superiorly 7
supero 1
superolateral 3
superoposterior 1
supra 2
suprarenal 7
supriya 1
surface 4
surgical 3
surrounding 5
suspicious 9
suture 1
syndrome 2
systole 1
systolic 1
t 30
table 52
tail 1
tappable 6
tapping 1
tareen 1
tauseef 2
tender 2
tenderness 85
tendernessin 1
teratoma 1
termination 1
than 2
that 124
the 1689
them 4
there 428
these 3
they 12
thick 140
thickened 1840
thickening 13
thicker 1
thickness 24
thin 386
thinning 1
this 7
three 12
through 3
till 6
tiny 127
tio 1
tip 1
tissue 14
tissues 1
to 554
too 2
torsion 33
tortuous 6
tota 52
touching 2
tr 1
traced 1
tract 3
tracts 1
trans 12
transperineal 1
transplant 2
transverse 1
tri 1
trilobed 2
tub 1
tubal 2
tube 1
tubo 14
tubular 9
turbid 29
tvs 1
two 142
type 1
ultrasound 44
umbilical 52
umbilicus 16
unchanged 1
uniform 3
unilocular 13
unlikely 1
up 20
upper 12
upto 30
upwards 1
ureteric 33
urethra 1
uretric 3
urge 1
urinary 21
urine 1
urolithiasis 1
usg 4
uterine 38
uterus 201
uv 2
vagina 1
variable 3
variegated 2
vary 5
varying 1
vascular 8
vascularity 64
vatsala 2
vault 2
veins 2
velocities 1
velocity 3
venous 6
ventral 5
very 8
vesicle 52
vesicles 1
vessels 2
view 11
vijay 3
viral 1
viscera 1
visible 2
visit 28
visualise 1
visualised 45
visualization 11
visualized 282
void 2
voiding 1
vol 419
volume 212
w 1
wall 104
walled 174
walls 187
was 1
waveform 1
weeks 1
well 488
were 1
which 3
wide 1
wider 2
with 2235
within 382
without 3
x 6758
xxxxxxxx 85
years 15
yrs 12
